log_q,log_p,log_y,share,log_hhsize,log_driver,log_hhr_age,total_wrkr,publictransit_d,cl5_smtown_d,cl5_suburban_d,cl5_secondcity_d,cl5_urban_d,popdensity_d2,popdensity_d3,popdensity_d4,popdensity_d5,popdensity_d6,popdensity_d7,popdensity_d8,state_fips,distance_oil1000
5.576797,.25012451,9.4334841,.027145002,1.3862944,.69314718,3.1780539,1,0,1,0,0,0,0,1,0,0,0,0,0,AR,.78545296
7.4190092,.2506161,11.042922,.034276459,1.3862944,1.0986123,3.6888795,2,0,0,0,1,0,0,0,0,1,0,0,0,AR,.78545296
7.7069397,.2505337,11.695247,.023807053,1.3862944,.69314718,3.5553482,2,0,1,0,0,0,0,0,0,1,0,0,0,AR,.78545296
7.3394165,.36151007,11.695247,.018419959,1.0986123,.69314718,3.5553482,2,1,0,1,0,0,0,0,1,0,0,0,0,CA,2.8637257
8.199316,.36157095,10.95954,.090840235,1.7917595,.69314718,3.0910425,2,1,0,0,1,0,1,0,0,0,0,0,0,CA,2.8637257
7.4556398,.36171883,11.695247,.020694476,1.6094379,.69314718,3.583519,1,1,1,0,0,0,1,0,0,0,0,0,0,CA,2.8637257
6.7698302,.36137572,10.532096,.033343572,1.6094379,1.0986123,3.6375861,1,1,0,1,0,0,0,0,0,0,1,0,0,CA,2.8637257
7.7561088,.36168262,11.191341,.046256632,1.0986123,.69314718,3.9318256,1,0,0,1,0,0,0,0,0,1,0,0,0,CA,2.8637257
7.299716,.36154702,11.119883,.031473175,1.0986123,.69314718,3.5263605,2,1,0,0,1,0,0,0,0,1,0,0,0,CA,2.8637257
7.4620667,.36158091,11.407565,.027766718,1.0986123,.69314718,3.6375861,2,1,0,0,1,0,0,0,0,0,1,0,0,CA,2.8637257
7.195148,.36147901,11.042922,.030614091,1.3862944,1.0986123,3.8286414,2,1,0,1,0,0,0,0,0,0,1,0,0,CA,2.8637257
